a01,a05,G1.03,hh_type,pilot,cluster,g1_06_p1,G2.01.A,G2.02.A,G2.03.A,G2.01.B,G2.02.B,G2.03.B,G2.01.C,G2.02.C,G2.03.C,G2.01.F,G2.02.F,G2.03.F,G5.01.A,g5a_01b_p1_a,g5a_01c_p1_a,G5.02.A,G5.01.B,g5a_01b_p1_b,g5a_01c_p1_b,G5.02.B,G5.01.C,g5a_01b_p1_c,g5a_01c_p1_c,G5.02.C,G5.01.D,g5a_01b_p1_d,g5a_01c_p1_d,G5.02.D,g5a_01a_p1_e,g5a_01b_p1_e,g5a_01c_p1_e,g5a_02_p1_e,g5a_01a_p1_f,g5a_01b_p1_f,g5a_01c_p1_f,g5a_02_p1_f,g5a_01a_p1_g,g5a_01b_p1_g,g5a_01c_p1_g,g5a_02_p1_g,G5.03.A,G5.04.A,G5.05.A,G5.03.B,G5.04.B,G5.05.B,G5.03.C,G5.04.C,G5.05.C,G5.03.D,G5.04.D,G5.05.D,feelinputdecagr,raiprod_any,input_product_decision,autonomy
40.0,1.0,male,1.0,pilot 1.1,6.0,alone,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,small extent,self,spouse,,to a high extent,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,spouse,,small extent,self,spouse,,small extent,not very true,always true,always true,somewhat true,somewhat true,always true,always true,always true,somewhat true,not very true,always true,always true,0.0,0.0,0,0
40.0,2.0,female,1.0,pilot 1.1,6.0,alone,yes,input into most decisions,no decision made,no,no decision made,no decision made,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,self,spouse,,medium extent,self,spouse,,to a high extent,never true,never true,always true,never true,never true,always true,not very true,not very true,somewhat true,not very true,not very true,somewhat true,0.0,0.0,0,0
51.0,1.0,male,1.0,pilot 1.1,8.0,alone,yes,input into some decisions,input into most decisions,yes,input into most decisions,input into most decisions,yes,no input,no input,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,spouse,,medium extent,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,spouse,,medium extent,somewhat true,somewhat true,always true,always true,not very true,always true,never true,never true,always true,never true,not very true,always true,0.0,0.0,0,0
51.0,2.0,female,1.0,pilot 1.1,8.0,alone,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,never true,never true,always true,never true,never true,always true,never true,never true,always true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,0.0,0.0,0,0
58.0,1.0,male,1.0,pilot 1.1,6.0,alone,yes,input into some decisions,input into most decisions,no,no decision made,no decision made,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,to a high extent,self,spouse,,to a high extent,not applicable,not applicable,not applicable,n/a,self,spouse,,small extent,self,spouse,,small extent,not very true,always true,always true,not very true,always true,somewhat true,somewhat true,somewhat true,somewhat true,not very true,always true,always true,0.0,0.0,0,0
58.0,2.0,female,1.0,pilot 1.1,6.0,alone,yes,input into most decisions,no decision made,yes,input into most decisions,no decision made,yes,input into most decisions,no decision made,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,to a high extent,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,self,spouse,,to a high extent,self,spouse,,to a high extent,not very true,not very true,somewhat true,not very true,not very true,somewhat true,not very true,not very true,somewhat true,not very true,not very true,somewhat true,0.0,0.0,0,0
69.0,1.0,male,1.0,pilot 1.1,8.0,alone,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,no,no decision made,no decision made,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,spouse,,small extent,not very true,never true,always true,not very true,never true,somewhat true,not very true,never true,always true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,0.0,0.0,0,0
69.0,2.0,female,1.0,pilot 1.1,8.0,alone,yes,no input,input into some decisions,no,no decision made,no decision made,no,no decision made,no decision made,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,not at all,not applicable,not applicable,not applicable,n/a,self,spouse,,not at all,self,spouse,,not at all,self,spouse,,medium extent,never true,never true,always true,never true,never true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
96.0,1.0,male,1.0,pilot 1.1,8.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,self,spouse,,to a high extent,self,spouse,,to a high extent,spouse,,,medium extent,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,spouse,,,to a high extent,never true,not very true,always true,never true,never true,always true,somewhat true,not very true,never true,never true,never true,always true,0.0,0.0,0,0
96.0,2.0,female,1.0,pilot 1.1,8.0,alone,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,never true,never true,always true,never true,never true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
207.0,1.0,male,1.0,pilot 1.1,2.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,spouse,,,small extent,always true,always true,always true,always true,always true,always true,always true,always true,always true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,0.0,1.0,0,1
207.0,2.0,female,1.0,pilot 1.1,2.0,alone,yes,no input,input into some decisions,yes,no decision made,input into some decisions,no,no decision made,no decision made,no,no decision made,no decision made,spouse,,,small extent,spouse,,,small extent,spouse,,,medium extent,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,spouse,,,medium extent,not very true,always true,always true,never true,always true,always true,never true,always true,always true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,1.0,0.0,1,0
301.0,1.0,male,1.0,pilot 1.1,3.0,alone,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,no,no decision made,no decision made,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,never true,never true,always true,always true,always true,always true,always true,always true,always true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,0.0,0.0,0,0
301.0,2.0,female,1.0,pilot 1.1,3.0,alone,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,spouse,,,small extent,never true,never true,always true,never true,never true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
302.0,1.0,male,1.0,pilot 1.1,3.0,alone,yes,input into some decisions,input into some decisions,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,spouse,,small extent,self,spouse,,small extent,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,always true,always true,always true,always true,always true,always true,always true,always true,always true,somewhat true,always true,always true,0.0,0.0,0,0
302.0,2.0,female,1.0,pilot 1.1,3.0,alone,yes,input into some decisions,no decision made,no,no decision made,no decision made,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,spouse,,,small extent,never true,never true,always true,never true,never true,always true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,never true,never true,always true,0.0,0.0,0,0
303.0,1.0,male,1.0,pilot 1.1,3.0,alone,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,to a high extent,self,spouse,,small extent,self,spouse,,small extent,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,spouse,,small extent,always true,always true,always true,always true,always true,always true,somewhat true,always true,not very true,always true,always true,not very true,0.0,1.0,0,1
303.0,2.0,female,1.0,pilot 1.1,3.0,alone,yes,input into some decisions,input into some decisions,yes,no decision made,no decision made,yes,input into most decisions,input into some decisions,no,no decision made,no decision made,spouse,,,not at all,self,not applicable,not applicable,n/a,spouse,,,small extent,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,spouse,,,not at all,spouse,,,small extent,always true,always true,always true,always true,always true,always true,always true,always true,always true,always true,always true,always true,0.0,1.0,0,1
304.0,1.0,male,1.0,pilot 1.1,3.0,alone,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,no,no decision made,no decision made,no,no decision made,no decision made,self,spouse,,small extent,self,spouse,,small extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,self,spouse,other hh member,medium extent,never true,never true,always true,never true,never true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
304.0,2.0,female,1.0,pilot 1.1,3.0,alone,yes,input into most decisions,input into some decisions,no,no decision made,no decision made,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,spouse,,,small extent,self,not applicable,not applicable,n/a,spouse,,,n/a,spouse,,,to a high extent,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,spouse,,,to a high extent,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,always true,always true,always true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,0.0,1.0,0,1
305.0,1.0,male,1.0,pilot 1.1,3.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,somewhat true,not very true,somewhat true,somewhat true,somewhat true,somewhat true,somewhat true,not very true,not very true,somewhat true,somewhat true,somewhat true,0.0,1.0,0,1
305.0,2.0,female,1.0,pilot 1.1,3.0,alone,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,self,spouse,,medium extent,spouse,,,small extent,never true,never true,always true,never true,never true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
306.0,1.0,male,1.0,pilot 1.1,3.0,alone,yes,input into some decisions,no decision made,no,no decision made,no decision made,no,no decision made,no decision made,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,spouse,,medium extent,self,spouse,,medium extent,always true,always true,always true,always true,always true,always true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,0.0,1.0,0,1
306.0,2.0,female,1.0,pilot 1.1,3.0,alone,yes,input into most decisions,no decision made,no,no decision made,no decision made,no,no decision made,no decision made,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,spouse,,small extent,never true,never true,always true,always true,always true,always true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,0.0,0.0,0,0
307.0,1.0,male,1.0,pilot 1.1,3.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,not applicable,not applicable,n/a,self,spouse,,medium extent,self,spouse,,medium extent,never true,never true,always true,never true,never true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
307.0,2.0,female,1.0,pilot 1.1,3.0,alone,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,yes,no decision made,no decision made,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,spouse,,,small extent,never true,never true,always true,never true,never true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
308.0,1.0,male,1.0,pilot 1.1,3.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,yes,input into some decisions,input into most decisions,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,spouse,,medium extent,self,not applicable,not applicable,n/a,self,spouse,,to a high extent,not applicable,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,always true,always true,always true,always true,always true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
308.0,2.0,female,1.0,pilot 1.1,3.0,alone,yes,input into most decisions,no input,no,no decision made,no decision made,no,no decision made,no decision made,no,no decision made,no decision made,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,spouse,,to a high extent,always true,always true,always true,always true,always true,always true,always true,always true,always true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,0.0,1.0,0,1
309.0,1.0,male,1.0,pilot 1.1,3.0,alone,yes,no input,input into some decisions,yes,no decision made,no decision made,yes,no decision made,no decision made,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,spouse,,medium extent,never true,somewhat true,never true,always true,always true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
309.0,2.0,female,1.0,pilot 1.1,3.0,alone,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,spouse,,,small extent,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,spouse,,,small extent,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,always true,,always true,always true,always true,always true,always true,always true,always true,always true,always true,always true,0.0,1.0,0,1
310.0,1.0,male,1.0,pilot 1.1,3.0,alone,no,no decision made,no decision made,no,no decision made,no decision made,no,no decision made,no decision made,no,no decision made,no decision made,other hh member,,,medium extent,other hh member,,,medium extent,not applicable,not applicable,not applicable,n/a,other hh member,,,medium extent,not applicable,not applicable,not applicable,n/a,other hh member,,,medium extent,self,not applicable,not applicable,n/a,always true,always true,always true,always true,always true,always true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,0.0,1.0,0,1
310.0,2.0,female,1.0,pilot 1.1,3.0,alone,yes,input into some decisions,no decision made,yes,input into most decisions,input into most decisions,yes,no decision made,no decision made,no,no decision made,no decision made,self,spouse,other hh member,small extent,self,spouse,other hh member,small extent,self,spouse,other hh member,small extent,spouse,other hh member,,not at all,not applicable,not applicable,not applicable,n/a,self,spouse,,medium extent,self,spouse,,to a high extent,always true,not very true,always true,not very true,not very true,always true,never true,never true,always true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,0.0,0.0,0,0
311.0,1.0,male,1.0,pilot 1.1,3.0,alone,yes,no input,no input,no,no decision made,no decision made,no,no decision made,no decision made,no,no decision made,no decision made,self,spouse,,not at all,self,spouse,,not at all,self,not applicable,not applicable,n/a,self,spouse,,n/a,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,never true,never true,always true,never true,never true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
311.0,2.0,female,1.0,pilot 1.1,3.0,alone,yes,input into most decisions,no decision made,no,no decision made,no decision made,yes,input into most decisions,no input,no,no decision made,no decision made,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,spouse,,,small extent,spouse,,,small extent,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,always true,always true,always true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,always true,always true,always true,0.0,1.0,0,1
312.0,1.0,male,1.0,pilot 1.1,3.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,spouse,,medium extent,self,not applicable,not applicable,n/a,self,spouse,,medium extent,self,not applicable,not applicable,n/a,always true,always true,always true,never true,always true,always true,never true,always true,always true,always true,always true,always true,0.0,0.0,0,0
312.0,2.0,female,1.0,pilot 1.1,3.0,alone,yes,input into some decisions,no decision made,yes,no input,no input,no,no decision made,no decision made,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,spouse,,medium extent,not very true,not very true,always true,not very true,not very true,always true,not very true,not very true,always true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,0.0,0.0,0,0
401.0,1.0,male,1.0,pilot 1.1,4.0,alone,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,yes,no decision made,no decision made,no,no decision made,no decision made,spouse,,,medium extent,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,never true,never true,always true,never true,never true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
401.0,2.0,female,1.0,pilot 1.1,4.0,with children present,yes,no input,no input,no,no decision made,no decision made,no,no decision made,no decision made,no,no decision made,no decision made,spouse,,,not at all,spouse,,,not at all,spouse,,,not at all,spouse,,,small extent,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,always true,never true,always true,always true,not very true,always true,always true,not very true,always true,always true,not very true,always true,1.0,0.0,1,0
402.0,1.0,male,1.0,pilot 1.1,4.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,spouse,other hh member,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,spouse,other hh member,n/a,never true,never true,always true,never true,never true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
402.0,2.0,female,1.0,pilot 1.1,4.0,alone,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,no,no decision made,no decision made,no,no decision made,no decision made,spouse,,,small extent,spouse,,,medium extent,spouse,,,small extent,spouse,,,small extent,not applicable,not applicable,not applicable,n/a,spouse,,,small extent,spouse,,,small extent,always true,somewhat true,always true,always true,not very true,always true,always true,not very true,always true,always true,not very true,always true,0.0,0.0,0,0
